age,bias-question,gender,newsOutlet,politics,url,id,country_US,language_en,ind_politics,bias_sum,id_count,ratio
43,1,1.0,2,1.0,https://www.foxnews.com/us/nyc-mayor-eric-adams-announces-juneteenth-as-a-paid-city-holiday,250,1,1,0,2,2,1.0
25,1,1.0,2,0.0,https://www.foxnews.com/us/nyc-man-surgical-glove-wanted-attempted-rape-woman-city-street-police,249,1,1,0,1,1,1.0
27,1,1.0,0,2.0,https://www.bbc.co.uk/news/world-us-canada-61004345,89,1,1,0,4,4,1.0
48,1,0.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-61016908,94,1,1,0,10,11,0.9090909090909091
45,1,0.0,0,2.0,https://www.bbc.co.uk/news/world-us-canada-61016908,94,1,1,0,10,11,0.9090909090909091
56,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-61016908,94,1,1,0,10,11,0.9090909090909091
35,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-61016908,94,1,1,0,10,11,0.9090909090909091
34,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-61016908,94,1,1,0,10,11,0.9090909090909091
36,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-61016908,94,1,1,0,10,11,0.9090909090909091
44,0,1.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-61016908,94,1,1,0,10,11,0.9090909090909091
28,1,0.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-61016908,94,1,1,0,10,11,0.9090909090909091
53,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-61016908,94,1,1,0,10,11,0.9090909090909091
28,1,1.0,2,0.0,https://www.foxnews.com/us/nancy-crampton-brophy-murder-trial-oregon,233,1,1,0,10,11,0.9090909090909091
25,1,1.0,2,1.0,https://www.foxnews.com/us/nancy-crampton-brophy-murder-trial-oregon,233,1,1,0,10,11,0.9090909090909091
24,1,0.0,2,0.0,https://www.foxnews.com/us/nancy-crampton-brophy-murder-trial-oregon,233,1,1,0,10,11,0.9090909090909091
34,1,1.0,2,1.0,https://www.foxnews.com/us/nancy-crampton-brophy-murder-trial-oregon,233,1,1,0,10,11,0.9090909090909091
